
 
					TH				PH
				---------------------------	---------------------------
THETA      	PHI        	P.REAL     	P.IMAG     	P.REAL     	P.IMAG     
-----------	-----------	-----------	-----------	-----------	-----------
-135.000000	85.000000	-0.001793	-0.004225	-0.008685	 0.006287
-135.000000	90.000000	-0.000555	-0.001490	-0.010700	 0.006708
-135.000000	95.000000	-0.002151	-0.002077	-0.011023	 0.009159
-135.000000	100.000000	-0.005204	-0.002730	-0.009414	 0.009762
-135.000000	105.000000	-0.007631	-0.000991	-0.008056	 0.009028
-135.000000	110.000000	-0.009284	 0.000245	-0.007965	 0.009780
-135.000000	115.000000	-0.009523	 0.002125	-0.007111	 0.009930
-135.000000	120.000000	-0.011099	 0.005568	-0.006588	 0.008653
-135.000000	125.000000	-0.014776	 0.005749	-0.006285	 0.008384
-135.000000	130.000000	-0.015592	 0.005740	-0.004487	 0.008644
-135.000000	135.000000	-0.014138	 0.011071	-0.002983	 0.008887
-135.000000	140.000000	-0.015217	 0.016511	-0.001839	 0.008716
-135.000000	145.000000	-0.015887	 0.019821	-0.000292	 0.007440
-135.000000	150.000000	-0.013681	 0.023140	-0.000057	 0.006050
-135.000000	155.000000	-0.012368	 0.023991	 0.000007	 0.004583
-135.000000	160.000000	-0.012854	 0.023639	 0.001028	 0.004634
-135.000000	165.000000	-0.014198	 0.024562	 0.000555	 0.006053
-135.000000	170.000000	-0.014928	 0.024364	-0.000716	 0.004420
-135.000000	175.000000	-0.013149	 0.023211	-0.000221	 0.001742
-135.000000	180.000000	 0.012520	-0.023425	-0.000363	-0.001468
-130.000000	 0.000000	 0.004160	 0.037886	-0.001465	-0.000409
-130.000000	 5.000000	 0.002727	 0.036740	-0.002299	 0.000879
-130.000000	10.000000	 0.003472	 0.037637	-0.001795	-0.000303
-130.000000	15.000000	 0.004318	 0.038973	-0.002508	-0.001742
-130.000000	20.000000	 0.002244	 0.038612	-0.003314	-0.003961
-130.000000	25.000000	-0.001245	 0.037079	-0.002589	-0.004654
-130.000000	30.000000	-0.001750	 0.034510	-0.002857	-0.005654
-130.000000	35.000000	-0.002180	 0.032745	-0.003351	-0.007489
-130.000000	40.000000	-0.003917	 0.030857	-0.003993	-0.006144
-130.000000	45.000000	-0.002026	 0.027217	-0.006774	-0.007511
-130.000000	50.000000	 0.000352	 0.023933	-0.006239	-0.010549
-130.000000	55.000000	 0.000898	 0.021361	-0.003187	-0.008401
-130.000000	60.000000	 0.003979	 0.017888	-0.003924	-0.006395
-130.000000	65.000000	 0.005365	 0.013490	-0.008555	-0.005768
-130.000000	70.000000	 0.006322	 0.011001	-0.012852	-0.004177
-130.000000	75.000000	 0.009472	 0.009103	-0.012267	-0.004095
-130.000000	80.000000	 0.006932	 0.004236	-0.010455	-0.005386
-130.000000	85.000000	 0.002344	 0.001761	-0.009291	-0.006038
-130.000000	90.000000	 0.001882	 0.002700	-0.008934	-0.005204
