NUMERO DE MUESTRAS EN EL ARGUMENTO 3 ............. :   37
NUMERO DE MUESTRAS EN EL ARGUMENTO 4 ............. :   72
NUMERO DE FRECUENCIAS MEDIDAS .................... :    1
EL FICHERO SE ESTRUCTURA EN CORTES DEL ARGUMENTO . : 3 == THETA          
CADA CORTE SE BARRE EN EL ARGUMENTO .............. : 4 == PHI            


===========================================================================
=========== BLOQUE CORRESPONDIENTE A LA FRECUENCIA  32.245     ============
===========================================================================

                                         E_PH                            E_PH                   
                                 ------------------------------- -------------------------------
 THETA           PHI                P. REAL       P. IMAGINARIA     P. REAL       P. IMAGINARIA 
 --------------- --------------- --------------- --------------- --------------- ---------------
  10.0000000      25.0000000      2.49945021      2.86774063     -1.46789598     -1.00060308    
  10.0000000      30.0000000      2.40167308      2.72852588     -1.73853636     -1.17164505    
  10.0000000      35.0000000      2.28291464      2.57133818     -1.99751484     -1.33145928    
  10.0000000      40.0000000      2.14403772      2.39751482     -2.24242854     -1.47931159    
  10.0000000      45.0000000      1.98616457      2.20840430     -2.47095275     -1.61455905    
  10.0000000      50.0000000      1.81066048      2.00538301     -2.68089771     -1.73663056    
  10.0000000      55.0000000      1.61909080      1.78986466     -2.87026072     -1.84503233    
  10.0000000      60.0000000      1.41316688      1.56330776     -3.03726745     -1.93935573    
  10.0000000      65.0000000      1.19468689      1.32721829     -3.18038201     -2.01928663    
  10.0000000      70.0000000     0.965497136      1.08315074     -3.29828835     -2.08461618    
  10.0000000      75.0000000     0.727495909     0.832700193     -3.38985467     -2.13524675    
  10.0000000      80.0000000     0.482672036     0.577483118     -3.45412230     -2.17119646    
  10.0000000      85.0000000     0.233170643     0.319105715     -3.49032593     -2.19256639    
  10.0000000      90.0000000    -0.186706856E-01 0.591353327E-01 -3.49796414     -2.19950366    
  10.0000000      95.0000000    -0.270326465    -0.200908497     -3.47689629     -2.19212461    
  10.0000000      100.000000    -0.519160330    -0.459527135     -3.42742372     -2.17045426    
  10.0000000      105.000000    -0.762553275    -0.715193570     -3.35032654     -2.13439274    
  10.0000000      110.000000    -0.998053789    -0.966292202     -3.24682426     -2.08374166    
  10.0000000      115.000000     -1.22349679     -1.21108568     -3.11845946     -2.01827335    
  10.0000000      120.000000     -1.43706703     -1.44772875     -2.96694708     -1.93783939    
  10.0000000      125.000000     -1.63727474     -1.67433012     -2.79401493     -1.84246075    
  10.0000000      130.000000     -1.82287598     -1.88904977     -2.60130668     -1.73238230    
  10.0000000      135.000000     -1.99275649     -2.09019279     -2.39035511     -1.60806751    
  10.0000000      140.000000     -2.14583731     -2.27625990     -2.16264319     -1.47015381    
  10.0000000      145.000000     -2.28102922     -2.44594502     -1.91971672     -1.31938636    
  10.0000000      150.000000     -2.39725900     -2.59807944     -1.66330945     -1.15658391    
  10.0000000      155.000000     -2.49354768     -2.73155355     -1.39542162    -0.982635319    
  10.0000000      160.000000     -2.56912732     -2.84526563     -1.11832583    -0.798550785    
  10.0000000      165.000000     -2.62352586     -2.93810821    -0.834490538    -0.605508447    
